RSSDID,DATE,TOTLOAN_NET,ROA,CAPITAL_RATIO,event
1847,19950331,192,0.003533089,0.225592023,0
1847,19950630,222,0.007916275,0.216265452,0
1847,19950930,183,0.01075483,0.228246137,0
1847,19951231,220,0.012707599,0.199929561,0
1847,19960331,201,0.002422079,0.239715521,0
1847,19960630,176,0.00347983,0.207499701,0
1847,19960930,143,0.008041818,0.19521077,0
1847,19961231,367,-0.000650739,0.224783167,0
1847,19970331,465,0.001415094,0.214197721,0
1847,19970630,562,0.002116402,0.224874272,0
1847,19970930,896,0.000695679,0.211058665,0
1847,19971231,3929,-0.000364343,0.143396804,0
1847,19980331,4794,-0.000703467,0.107915058,0
3458,19950331,9842,0.002437474,0.076802179,0
3458,19950630,11175,0.001229256,0.079528719,0
3458,19950930,11451,0.00431232,0.078529569,0
3458,19951231,11035,0.002569187,0.082340513,0
3458,19960331,10414,0.00320177,0.083559508,0
3458,19960630,10958,0.004961634,0.081906738,0
3458,19960930,10684,0.008288369,0.0799785,0
3458,19961231,10007,0.006679624,0.079558134,0
3458,19970331,10315,0.00258832,0.079051813,0
3458,19970630,10563,3.873824018,0.082042035,0
3458,19970930,10796,0.00594841,0.082341324,0
3458,19971231,9867,0.008323041,0.079350055,0
3458,19980331,10394,0.002138008,0.084071518,0
3458,19980630,11284,0.00539986,0.083919086,0
3458,19980930,11368,0.008740181,0.088200622,0
3458,19981231,10008,0.007646469,0.082277824,0
3458,19990331,9509,0.001690357,0.080885698,0
3458,19990630,8844,0.003734502,0.078930586,0
3458,19990930,8230,0.005630014,0.082654249,0
3458,19991231,7116,0.007282041,0.07948373,0
3458,20000331,8061,0.002607626,0.079677404,0
3458,20000630,7707,0.005309996,0.082806668,0
3458,20000930,7305,0.009589798,0.090430113,0
3458,20001231,6532,0.011257314,0.089175655,0
3458,20010331,7005,0.002658943,0.092769505,0
3458,20010630,7714,0.005931761,0.096767988,0
3458,20010930,8200,0.009568659,0.110663879,0
3458,20011231,7580,0.012286553,0.101296323,0
3458,20020331,7989,0.002799356,0.095451257,0
3458,20020630,8038,0.005604773,0.101165733,0
3458,20020930,8644,0.008589152,0.103670522,1
3458,20021231,7958,0.011352193,0.103873482,0
